# Sensor type: Respeck
# Activity type: Ascending stairs
# Activity subtype: Normal
# Subject id: s1862623
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1695813600985,1.3518066,0.32122803,-0.3201294,-7.875,-13.4375,-13.609375
1695813601025,1.279541,0.20892334,-0.41729736,-4.328125,14.109375,2.046875
1695813601063,0.94018555,-0.12677002,-0.5322876,-43.421875,-9.90625,6.578125
1695813601097,0.49267578,-0.20611572,-0.4541626,-32.609375,-0.375,-7.78125
1695813601134,0.65771484,0.16864014,-0.32354736,-14.359375,7.25,1.015625
1695813601184,1.5222168,0.49090576,-0.25958252,-14.4375,2.5,6.265625
1695813601222,0.98168945,0.034118652,-0.21343994,-10.40625,-21.796875,7.828125
1695813601260,0.5974121,-0.14337158,-0.23590088,-23.46875,-28.6875,1.59375
1695813601297,0.4963379,-0.017150879,-0.20684814,-23.0,-13.578125,-8.0625
1695813601334,0.6755371,0.15570068,-0.15631104,-17.3125,-1.515625,-4.09375
1695813601385,0.8371582,0.07611084,-0.06573486,-6.296875,3.796875,-2.578125
1695813601423,0.89819336,-0.07989502,-0.11529541,-2.671875,17.484375,-7.5625
1695813601460,1.2631836,-0.11456299,-0.33795166,3.0,14.1875,-6.140625
1695813601498,1.927002,0.06829834,-0.37213135,9.109375,-1.59375,15.375
1695813601534,1.2749023,0.15618896,-0.49249268,-6.15625,-13.796875,24.265625
1695813601573,0.84033203,0.3632202,-0.4031372,12.078125,-15.015625,7.828125
1695813601610,0.6652832,0.4015503,-0.18414307,8.59375,0.859375,-6.5625
1695813601660,0.80908203,0.1395874,-0.1843872,3.125,-6.59375,-3.546875
1695813601698,1.0258789,0.09661865,-0.144104,13.8125,0.390625,4.515625
1695813601735,0.9226074,-0.0095825195,-0.22491455,7.921875,-2.296875,2.3125
1695813601772,0.7272949,-0.10699463,-0.1350708,-2.921875,1.640625,-5.125
1695813601810,0.6159668,-7.9345703E-4,-0.113342285,-10.015625,13.28125,-6.015625
1695813601849,0.7060547,0.124694824,-0.16778564,2.84375,1.1875,3.75
1695813601899,1.0466309,0.32196045,-0.16778564,21.3125,0.265625,11.34375
1695813601938,1.3261719,0.009460449,-0.062561035,-9.609375,12.96875,3.578125
1695813601974,1.0893555,-0.18414307,-0.14190674,-18.921875,-11.046875,0.796875
