,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,1695731396183,-0.7426758,-0.028869629,-0.6604614,0.0625,1.453125,0.515625
1,1695731396232,-0.74072266,-0.032043457,-0.6531372,-0.65625,0.984375,-0.171875
2,1695731396270,-0.73657227,-0.028137207,-0.6577759,-0.203125,0.875,0.765625
3,1695731396308,-0.7375488,-0.024475098,-0.6577759,-0.375,1.140625,0.859375
4,1695731396346,-0.7441406,-0.031799316,-0.6585083,-0.53125,0.953125,0.359375
5,1695731396382,-0.74121094,-0.030090332,-0.6604614,-0.5,1.21875,0.5
6,1695731396421,-0.7385254,-0.03302002,-0.65216064,-0.125,1.5,0.546875
7,1695731396458,-0.7363281,-0.032043457,-0.65802,-0.515625,0.859375,0.5
8,1695731396510,-0.74365234,-0.02545166,-0.659729,-0.6875,0.859375,0.390625
9,1695731396545,-0.74365234,-0.03326416,-0.65338135,0.421875,1.796875,0.28125
10,1695731396583,-0.7416992,-0.03277588,-0.65289307,-0.078125,1.265625,0.375
11,1695731396623,-0.7414551,-0.014953613,-0.6477661,-0.671875,0.8125,0.59375
12,1695731396658,-0.74243164,-0.02911377,-0.65460205,-0.21875,1.203125,0.484375
13,1695731396695,-0.7487793,-0.027893066,-0.65167236,-0.40625,2.046875,0.40625
14,1695731396746,-0.7480469,-0.035949707,-0.6499634,0.609375,1.140625,0.0625
15,1695731396783,-0.74121094,-0.031066895,-0.6511841,-0.359375,0.453125,0.25
16,1695731396823,-0.7426758,-0.024719238,-0.6499634,-0.46875,0.8125,0.234375
17,1695731396859,-0.7458496,-0.029846191,-0.663147,-0.046875,2.046875,0.484375
18,1695731396895,-0.7438965,-0.03253174,-0.65704346,0.140625,1.703125,0.390625
19,1695731396933,-0.7468262,-0.02911377,-0.64141846,0.015625,1.046875,0.46875
20,1695731396971,-0.74072266,-0.03668213,-0.65997314,-1.234375,-0.171875,0.671875
21,1695731397022,-0.7504883,-0.027160645,-0.6526489,-0.296875,0.953125,0.53125
