# Sensor type: Respeck
# Activity type: Lying down right
# Activity subtype: Hyperventilating
# Subject id: s1862623
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1695730862839,0.8222656,-0.3086548,0.47113037,-1.34375,1.390625,-0.890625
1695730862870,0.82006836,-0.30352783,0.47039795,-2.5625,4.3125,-0.78125
1695730862914,0.82543945,-0.31134033,0.48162842,-2.078125,2.3125,-1.40625
1695730862960,0.84155273,-0.3164673,0.48797607,-1.875,1.640625,-0.703125
1695730862988,0.8442383,-0.30474854,0.47772217,-1.234375,2.515625,-0.78125
1695730863033,0.8408203,-0.31427002,0.4677124,-2.78125,2.34375,-0.53125
1695730863079,0.8425293,-0.3093872,0.4689331,-1.09375,0.140625,0.140625
1695730863109,0.83251953,-0.3164673,0.45184326,-0.015625,1.171875,0.90625
1695730863154,0.8352051,-0.31329346,0.46136475,0.234375,1.296875,0.453125
1695730863183,0.8417969,-0.32208252,0.47625732,0.3125,1.0,-0.78125
1695730863229,0.8371582,-0.31573486,0.4616089,-1.03125,0.59375,0.3125
1695730863274,0.8378906,-0.3093872,0.45233154,-1.84375,3.046875,-0.40625
1695730863304,0.84399414,-0.32086182,0.47650146,5.0625,8.1875,-2.0625
1695730863349,0.8574219,-0.3081665,0.447937,-1.34375,3.390625,-1.40625
1695730863396,0.82373047,-0.30718994,0.46990967,0.8125,3.390625,-1.484375
1695730863424,0.84814453,-0.34014893,0.4862671,3.9375,6.875,-2.21875
1695730863469,0.904541,-0.36846924,0.4459839,1.640625,4.09375,-3.609375
1695730863498,0.86499023,-0.3357544,0.40911865,3.828125,2.65625,-6.46875
1695730863543,0.82666016,-0.3201294,0.44036865,6.34375,-1.9375,-2.25
1695730863589,0.8342285,-0.34210205,0.42889404,2.875,-13.875,0.953125
1695730863618,0.77441406,-0.34649658,0.43255615,1.890625,-10.046875,-1.0625
1695730863666,0.77734375,-0.36212158,0.4286499,-2.765625,-4.53125,-1.46875
1695730863710,0.8183594,-0.34039307,0.4701538,-6.109375,0.65625,-0.96875
1695730863739,0.77856445,-0.2954712,0.5231323,-12.5,-7.0,1.328125
1695730863785,0.7871094,-0.2822876,0.54241943,-26.09375,-20.953125,8.875
1695730863818,0.73535156,-0.23687744,0.4545288,-36.546875,-20.984375,9.390625
1695730863860,0.79125977,-0.25494385,0.5524292,-20.8125,0.15625,0.96875
