,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,ind
0,1695814265438,1.1281738,-0.32476807,0.03363037,-2.578125,-0.359375,-2.984375,Respeck,Normal walking,-1,s1862623,,0
1,1695814265474,1.3664551,-0.078430176,0.15545654,-6.5625,5.453125,3.8125,Respeck,Normal walking,-1,s1862623,,1
2,1695814265511,1.6748047,0.008972168,-0.020812988,-3.078125,-11.03125,-12.125,Respeck,Normal walking,-1,s1862623,,2
3,1695814265550,1.1748047,-0.0178833,-0.38555908,-23.328125,-14.28125,-7.0,Respeck,Normal walking,-1,s1862623,,3
4,1695814265587,0.560791,-0.1116333,-0.3423462,-18.375,-4.234375,10.078125,Respeck,Normal walking,-1,s1862623,,4
5,1695814265626,0.7536621,-0.121154785,-0.2197876,-10.375,10.03125,-0.984375,Respeck,Normal walking,-1,s1862623,,5
6,1695814265674,1.3374023,-0.23297119,-0.016906738,-18.140625,10.515625,-10.3125,Respeck,Normal walking,-1,s1862623,,6
7,1695814265714,1.0947266,0.0758667,-0.07940674,-17.0625,-2.125,0.328125,Respeck,Normal walking,-1,s1862623,,7
8,1695814265749,0.47387695,0.19036865,0.08001709,-18.40625,1.859375,5.4375,Respeck,Normal walking,-1,s1862623,,8
9,1695814265786,0.29101562,-0.17095947,0.014343262,-18.484375,9.109375,7.390625,Respeck,Normal walking,-1,s1862623,,9
10,1695814265824,0.5161133,-0.4085083,0.04486084,-9.890625,2.484375,2.125,Respeck,Normal walking,-1,s1862623,,10
11,1695814265862,0.7302246,-0.2041626,0.035583496,2.84375,-6.46875,-4.78125,Respeck,Normal walking,-1,s1862623,,11
12,1695814265912,1.0083008,0.15887451,0.081726074,21.4375,17.671875,-3.09375,Respeck,Normal walking,-1,s1862623,,12
13,1695814265950,1.3288574,-0.09967041,-0.085510254,35.421875,14.078125,8.546875,Respeck,Normal walking,-1,s1862623,,13
