# Sensor type: Thingy
# Activity type: Lying down right
# Activity subtype: Normal
# Subject id: s1862623
# Notes: test1
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1695727181447,-0.032226562,-0.6435547,-0.8574219,-0.59375,-0.0625,-0.15625,1.0625,-50.5,-197.625
1695727181487,-0.029296875,-0.64160156,-0.84375,-0.34375,0.125,-0.28125,0.0,0.0,0.0
1695727181528,-0.02734375,-0.6425781,-0.8544922,-0.40625,0.0625,-0.21875,0.0,0.0,0.0
1695727181567,-0.033203125,-0.6376953,-0.8623047,-0.59375,-0.3125,-0.09375,0.0,0.0,0.0
1695727181607,-0.03125,-0.6503906,-0.85839844,-0.25,-0.375,0.09375,0.0,0.0,0.0
1695727181647,-0.02734375,-0.6533203,-0.8623047,-0.53125,-0.375,0.15625,0.0,0.0,0.0
1695727181687,-0.037109375,-0.6455078,-0.85253906,-0.78125,-0.3125,0.21875,0.0,0.0,0.0
1695727181728,-0.03125,-0.63671875,-0.8457031,-0.59375,0.125,-0.09375,0.0,0.0,0.0
1695727181767,-0.037109375,-0.6484375,-0.8671875,0.0,0.0625,-0.15625,0.0,0.0,0.0
1695727181809,-0.038085938,-0.6464844,-0.8496094,-0.15625,0.0625,-0.09375,0.0,0.0,0.0
1695727181847,-0.03125,-0.64746094,-0.8359375,-0.03125,-0.0625,-0.21875,0.0,0.0,0.0
1695727181888,-0.029296875,-0.6425781,-0.8652344,0.03125,0.0,0.03125,0.0,0.0,0.0
1695727181928,-0.03125,-0.64453125,-0.85253906,0.03125,0.0,0.03125,0.0,0.0,0.0
1695727181967,-0.029296875,-0.64453125,-0.8544922,0.15625,-0.0625,0.09375,1.9375,-51.4375,-198.0625
1695727182007,-0.034179688,-0.6435547,-0.8457031,0.40625,0.0,-0.03125,0.0,0.0,0.0
1695727182048,-0.03515625,-0.6386719,-0.85253906,0.09375,0.0,-0.09375,0.0,0.0,0.0
1695727182109,-0.026367188,-0.64160156,-0.8457031,0.09375,0.125,-0.15625,0.0,0.0,0.0
1695727182147,-0.03515625,-0.64453125,-0.859375,-0.03125,0.21875,-0.34375,0.0,0.0,0.0
1695727182168,-0.02734375,-0.64941406,-0.859375,0.09375,0.1875,-0.03125,0.0,0.0,0.0
1695727182227,-0.03515625,-0.6464844,-0.8466797,0.53125,0.0625,0.03125,0.0,0.0,0.0
1695727182247,-0.03125,-0.6464844,-0.8544922,-0.25,-0.0625,-0.03125,0.0,0.0,0.0
1695727182308,-0.040039062,-0.64453125,-0.85253906,-0.1875,-0.0625,-0.09375,0.0,0.0,0.0
1695727182340,-0.033203125,-0.64453125,-0.8496094,0.09375,0.0625,-0.15625,0.0,0.0,0.0
1695727182531,-0.036132812,-0.6455078,-0.85546875,-0.9375,-0.125,-0.03125,0.625,-50.375,-197.4375
1695727182532,-0.03125,-0.63964844,-0.8544922,-0.4375,-0.5625,0.15625,0.0,0.0,0.0
1695727182534,-0.02734375,-0.63964844,-0.8515625,-0.5625,-0.125,0.09375,0.0,0.0,0.0
1695727182536,-0.033203125,-0.64746094,-0.8544922,-0.25,-0.25,0.09375,0.0,0.0,0.0
1695727182548,-0.03515625,-0.64453125,-0.86035156,-0.09375,-0.25,0.09375,0.0,0.0,0.0
1695727182568,-0.034179688,-0.64746094,-0.85253906,0.09375,0.125,-0.21875,0.0,0.0,0.0
1695727182689,-0.03515625,-0.63378906,-0.8466797,-0.25,-0.0625,0.03125,0.0,0.0,0.0
