,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
0,1695814198808,-1.3359375,0.57910156,1.4238281,-41.15625,121.125,65.34375,0.0,0.0,0.0
1,1695814198832,-1.4746094,-0.26171875,-0.13085938,-170.96875,151.0,-12.96875,0.0,0.0,0.0
2,1695814198856,-0.95410156,0.06640625,0.10253906,-77.15625,102.65625,52.34375,0.0,0.0,0.0
3,1695814198908,-1.4658203,0.3251953,0.02734375,-15.625,66.03125,89.21875,0.0,0.0,0.0
4,1695814198957,-1.3925781,0.2421875,-0.12109375,-168.15625,103.0,128.40625,0.0,0.0,0.0
5,1695814198982,-1.9052734,-1.0048828,-0.29882812,-129.84375,123.34375,189.625,0.0,0.0,0.0
6,1695814199031,-2.0,-1.2099609,-0.43554688,-4.34375,145.375,231.0,0.0,0.0,0.0
7,1695814199056,-1.8398438,-0.390625,0.6425781,61.5,156.0,153.5,0.0,0.0,0.0
8,1695814199107,-1.0332031,-0.1484375,-0.28710938,-43.09375,190.0625,103.75,0.0,0.0,0.0
9,1695814199131,-0.63183594,-0.7207031,1.0976562,37.65625,-37.75,49.3125,0.0,0.0,0.0
10,1695814199182,-0.16992188,-0.7109375,-0.23730469,-65.75,-154.0625,-163.28125,0.0,0.0,0.0
11,1695814199232,-0.52734375,0.9560547,0.9042969,-67.09375,-232.0625,-145.28125,-90.0,33.3125,-48.0625
12,1695814199256,-1.7011719,-0.18554688,-0.064453125,64.375,-210.90625,-210.40625,0.0,0.0,0.0
13,1695814199307,-2.0,-0.4814453,-0.70703125,97.6875,-249.90625,-302.8125,0.0,0.0,0.0
14,1695814199332,-2.0,-0.07519531,0.28125,77.0625,-209.5625,-236.21875,0.0,0.0,0.0
15,1695814199382,-1.3144531,-0.9404297,-0.20410156,110.34375,-107.0,-199.0,0.0,0.0,0.0
16,1695814199432,-0.18457031,0.28027344,-0.19824219,138.84375,-91.09375,-53.46875,0.0,0.0,0.0
17,1695814199482,0.6513672,0.9453125,0.013671875,21.46875,143.1875,28.625,0.0,0.0,0.0
18,1695814199507,1.4023438,0.69433594,-0.51171875,-192.53125,190.09375,129.4375,0.0,0.0,0.0
19,1695814199531,-0.28808594,0.8232422,0.82421875,-50.90625,37.65625,147.03125,0.0,0.0,0.0
20,1695814199581,-1.375,-1.1455078,-1.2724609,-117.5625,34.09375,-28.59375,0.0,0.0,0.0
21,1695814199633,-2.0,2.0,0.9013672,-118.84375,57.0625,119.625,0.0,0.0,0.0
22,1695814199657,-0.052734375,0.375,0.33203125,-10.21875,-11.1875,-76.0,0.0,0.0,0.0
23,1695814199708,-0.81933594,1.2626953,-0.70996094,-40.46875,83.96875,335.125,0.0,0.0,0.0
24,1695814199758,-2.0,-1.7822266,-1.3408203,160.3125,89.28125,214.09375,-89.125,19.5625,-45.5
25,1695814199782,-1.6259766,0.06347656,0.4267578,112.15625,120.03125,158.6875,0.0,0.0,0.0
26,1695814199834,-1.1894531,0.18945312,-0.28027344,16.28125,140.0625,135.84375,0.0,0.0,0.0
27,1695814199857,-0.6982422,-1.1748047,0.7402344,-64.59375,36.71875,63.59375,0.0,0.0,0.0
28,1695814199907,0.09667969,-1.1611328,-0.23144531,-8.125,-9.96875,-113.125,0.0,0.0,0.0
29,1695814199932,-0.49023438,0.46289062,0.6611328,49.65625,-165.65625,-142.34375,0.0,0.0,0.0
30,1695814199986,-0.8017578,0.055664062,-0.04296875,116.4375,-187.03125,-135.15625,0.0,0.0,0.0
31,1695814200033,-2.0,-0.7392578,-0.37304688,145.25,-256.4375,-201.25,0.0,0.0,0.0
32,1695814200056,-2.0,-0.24023438,0.053710938,-8.875,-253.375,-203.5625,0.0,0.0,0.0
33,1695814200107,-1.6787109,-0.55859375,-0.14941406,33.1875,-97.625,-243.5,0.0,0.0,0.0
34,1695814200135,-0.28710938,-0.5878906,-0.13867188,106.3125,-11.90625,-90.71875,0.0,0.0,0.0
35,1695814200199,0.8359375,1.0654297,-0.5625,89.875,74.21875,52.53125,0.0,0.0,0.0
36,1695814200238,1.1210938,0.9199219,-0.99902344,-71.4375,236.75,132.3125,-71.6875,36.625,-22.6875
37,1695814200256,-0.69921875,0.7597656,0.46679688,23.4375,18.125,193.59375,0.0,0.0,0.0
38,1695814200306,-1.3896484,-0.032226562,1.6015625,60.03125,-51.28125,-39.125,0.0,0.0,0.0
39,1695814200332,-2.0,-0.28125,1.7587891,-442.21875,196.59375,14.375,0.0,0.0,0.0
40,1695814200382,-0.109375,0.111328125,0.01171875,0.0,27.75,-130.15625,0.0,0.0,0.0
