,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
0,1695726234786,-0.15332031,0.15136719,0.9238281,-0.125,-0.03125,-0.21875,0.0,0.0,0.0
1,1695726234826,-0.15625,0.15136719,0.9423828,-0.125,-0.03125,-0.40625,0.0,0.0,0.0
2,1695726234846,-0.15625,0.14453125,0.93359375,-0.0625,0.03125,-0.34375,0.0,0.0,0.0
3,1695726234886,-0.15722656,0.14257812,0.94921875,0.0,0.15625,-0.53125,0.0,0.0,0.0
4,1695726234926,-0.16210938,0.14355469,0.92871094,0.0625,0.15625,-0.46875,0.0,0.0,0.0
5,1695726234966,-0.15820312,0.14550781,0.94628906,-0.125,-0.03125,-0.53125,-45.4375,-14.9375,-89.0
6,1695726235007,-0.16796875,0.14453125,0.93652344,-0.1875,0.03125,-0.40625,0.0,0.0,0.0
7,1695726235047,-0.15820312,0.15527344,0.9375,0.125,-0.03125,-0.46875,0.0,0.0,0.0
8,1695726235106,-0.16210938,0.14550781,0.9169922,0.0,0.09375,-0.46875,0.0,0.0,0.0
9,1695726235127,-0.15917969,0.15234375,0.93652344,-0.25,-0.03125,-0.46875,0.0,0.0,0.0
10,1695726235167,-0.14941406,0.14648438,0.9316406,-0.59375,0.15625,-0.46875,0.0,0.0,0.0
11,1695726235206,-0.16503906,0.140625,0.9248047,0.0,0.21875,-0.28125,0.0,0.0,0.0
12,1695726235247,-0.15820312,0.13671875,0.93847656,0.0,-0.03125,-0.34375,0.0,0.0,0.0
13,1695726235286,-0.15820312,0.14648438,0.9423828,0.125,-0.21875,-0.40625,0.0,0.0,0.0
14,1695726235327,-0.16308594,0.13378906,0.9404297,-0.1875,-0.03125,-0.46875,0.0,0.0,0.0
15,1695726235367,-0.15625,0.14257812,0.9277344,-0.375,-0.03125,-0.46875,0.0,0.0,0.0
16,1695726235407,-0.16210938,0.14257812,0.95214844,0.0625,-0.03125,-0.65625,0.0,0.0,0.0
17,1695726235446,-0.16894531,0.13671875,0.93652344,-0.0625,0.03125,-0.28125,0.0,0.0,0.0
18,1695726235487,-0.15625,0.1484375,0.9267578,-0.125,0.15625,-0.34375,-45.3125,-14.375,-89.125
19,1695726235528,-0.16113281,0.14550781,0.94628906,0.125,-0.21875,-0.40625,0.0,0.0,0.0
20,1695726235587,-0.1640625,0.13769531,0.92871094,-0.1875,-0.28125,-0.34375,0.0,0.0,0.0
21,1695726235607,-0.15722656,0.13964844,0.9511719,-0.125,-0.28125,-0.28125,0.0,0.0,0.0
22,1695726235647,-0.15332031,0.1328125,0.9394531,0.1875,-0.15625,-0.34375,0.0,0.0,0.0
23,1695726235688,-0.15527344,0.14355469,0.92871094,0.3125,-0.03125,-0.46875,0.0,0.0,0.0
24,1695726235727,-0.16015625,0.14453125,0.93652344,-0.0625,0.03125,-0.40625,0.0,0.0,0.0
25,1695726235767,-0.15722656,0.14257812,0.9423828,-0.125,-0.15625,-0.59375,0.0,0.0,0.0
26,1695726235808,-0.15820312,0.14453125,0.9423828,0.125,-0.03125,-0.53125,0.0,0.0,0.0
27,1695726235847,-0.15332031,0.13964844,0.94140625,0.1875,-0.21875,-0.53125,0.0,0.0,0.0
28,1695726235888,-0.15722656,0.140625,0.9296875,0.0625,-0.03125,-0.46875,0.0,0.0,0.0
29,1695726235928,-0.15332031,0.14746094,0.9296875,0.0625,-0.15625,-0.34375,0.0,0.0,0.0
30,1695726235969,-0.15722656,0.13183594,0.94433594,0.1875,0.09375,-0.46875,-45.0,-14.0625,-89.125
31,1695726236008,-0.15820312,0.13476562,0.92578125,-0.53125,0.15625,-0.40625,0.0,0.0,0.0
32,1695726236050,-0.15136719,0.14355469,0.9423828,0.0,0.40625,-0.34375,0.0,0.0,0.0
33,1695726236087,-0.15917969,0.13671875,0.93847656,0.625,-0.34375,-0.53125,0.0,0.0,0.0
34,1695726236129,-0.15722656,0.13867188,0.94140625,0.0625,-0.03125,-0.40625,0.0,0.0,0.0
35,1695726236187,-0.1640625,0.14160156,0.94433594,-0.0625,-0.15625,-0.59375,0.0,0.0,0.0
36,1695726236208,-0.15722656,0.14746094,0.9472656,0.625,-0.15625,-0.65625,0.0,0.0,0.0
37,1695726236247,-0.15820312,0.1484375,0.9404297,0.4375,0.03125,-0.65625,0.0,0.0,0.0
38,1695726236288,-0.15234375,0.13867188,0.92871094,-0.0625,0.03125,-0.34375,0.0,0.0,0.0
39,1695726236348,-0.15234375,0.14257812,0.9453125,0.375,0.09375,-0.40625,0.0,0.0,0.0
40,1695726236367,-0.16210938,0.14257812,0.9423828,0.4375,-0.03125,-0.40625,0.0,0.0,0.0
41,1695726236408,-0.15722656,0.13964844,0.92578125,0.0,-0.21875,-0.40625,0.0,0.0,0.0
42,1695726236447,-0.16015625,0.13867188,0.9404297,0.4375,0.09375,-0.40625,0.0,0.0,0.0
43,1695726236487,-0.1640625,0.13085938,0.9394531,0.25,0.03125,-0.53125,-44.375,-14.1875,-88.375
44,1695726236529,-0.15332031,0.13476562,0.9394531,0.4375,0.09375,-0.46875,0.0,0.0,0.0
45,1695726236569,-0.15820312,0.13867188,0.93359375,0.3125,0.21875,-0.34375,0.0,0.0,0.0
46,1695726236607,-0.15625,0.13476562,0.9326172,0.5625,0.21875,-0.53125,0.0,0.0,0.0
47,1695726236649,-0.16113281,0.14355469,0.9404297,0.6875,0.09375,-0.46875,0.0,0.0,0.0
48,1695726236689,-0.15625,0.14648438,0.9316406,0.625,-0.03125,-0.65625,0.0,0.0,0.0
49,1695726236728,-0.15136719,0.15625,0.94140625,0.5625,0.15625,-0.53125,0.0,0.0,0.0
50,1695726236787,-0.1640625,0.13769531,0.9453125,0.6875,0.28125,-0.40625,0.0,0.0,0.0
51,1695726236806,-0.16015625,0.14550781,0.9394531,0.125,0.03125,-0.21875,0.0,0.0,0.0
52,1695726236847,-0.16601562,0.13769531,0.9423828,0.0,0.40625,-0.15625,0.0,0.0,0.0
53,1695726236888,-0.15332031,0.14453125,0.93847656,0.0,0.21875,-0.40625,0.0,0.0,0.0
54,1695726236926,-0.15722656,0.1484375,0.9550781,0.84375,0.15625,-0.46875,0.0,0.0,0.0
55,1695726236967,-0.15136719,0.14648438,0.9501953,0.6875,-0.21875,-0.46875,-45.625,-14.375,-89.125
56,1695726237007,-0.15917969,0.13183594,0.9433594,0.4375,0.21875,-0.40625,0.0,0.0,0.0
57,1695726237050,-0.16113281,0.13964844,0.9394531,0.1875,-0.09375,-0.53125,0.0,0.0,0.0
